<>,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0996,0.1045,0.1033,0.1033,0.1002,0.0809,0.0971,0.0993,0.0983,0.0987,0.097,0.0795
B,0.1014,0.0962,0.0964,0.0976,0.0942,0.097,0.0988,0.1039,0.0982,0.0815,0.0982,0.1022
C,0.0959,0.0991,0.0984,0.0985,0.0953,0.093,0.1006,0.1012,0.0997,0.098,0.0997,0.0927
D,0.0996,0.0982,0.1005,0.0953,0.0982,0.0941,0.0961,0.0973,0.0984,0.0808,0.096,0.0943
E,0.0845,0.104,0.101,0.0961,0.0991,0.0969,0.0989,0.0997,0.0992,0.0999,0.103,0.0991
F,0.0963,0.0952,0.1126,0.094,0.0964,0.0956,0.0946,0.0965,0.0974,0.0936,0.0845,0.0952
G,0.0948,0.098,0.0987,0.0985,0.0939,0.0928,0.0954,0.0931,0.0958,0.1018,0.0991,0.1016
H,0.0992,0.0892,0.0986,0.1008,0.0961,0.096,0.097,0.098,0.0815,0.0924,0.1058,0.0979
<>,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0995,0.1021,0.1045,0.1064,0.094,0.0811,0.0993,0.1016,0.0989,0.0988,0.1014,0.0793
B,0.1007,0.0956,0.0963,0.0976,0.0955,0.0975,0.1001,0.1042,0.1001,0.0827,0.0984,0.1018
C,0.0963,0.0975,0.0996,0.0995,0.0962,0.094,0.1013,0.1006,0.0989,0.0975,0.0987,0.0926
D,0.1,0.0974,0.1005,0.0955,0.0985,0.0949,0.0959,0.0967,0.0984,0.0806,0.0962,0.0944
E,0.0847,0.1146,0.1044,0.0949,0.0989,0.0971,0.0997,0.1006,0.1002,0.1008,0.1042,0.0986
F,0.096,0.0956,0.1131,0.0941,0.0964,0.0959,0.0932,0.0966,0.0974,0.0944,0.0847,0.0944
G,0.0954,0.0968,0.0994,0.0974,0.0932,0.0925,0.0947,0.0929,0.096,0.1013,0.0987,0.1002
H,0.0985,0.0898,0.0981,0.1016,0.0962,0.0955,0.0965,0.0984,0.0814,0.0926,0.1058,0.0981
<>,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0987,0.1025,0.1003,0.101,0.0931,0.0808,0.0994,0.1014,0.0992,0.0978,0.1016,0.0799
B,0.1008,0.0941,0.097,0.0985,0.0959,0.0994,0.1006,0.1036,0.1001,0.0826,0.0991,0.103
C,0.0959,0.0973,0.0981,0.0979,0.0959,0.0943,0.1019,0.1016,0.0991,0.0974,0.0996,0.0918
D,0.0984,0.097,0.1,0.0968,0.0991,0.0944,0.0954,0.0971,0.0983,0.0808,0.095,0.0936
E,0.0849,0.1031,0.1012,0.095,0.0999,0.098,0.0977,0.1013,0.1005,0.1005,0.1045,0.0992
F,0.0953,0.0938,0.1114,0.0941,0.0968,0.0953,0.0934,0.0962,0.0978,0.0941,0.0847,0.0934
G,0.0945,0.0965,0.0982,0.0991,0.0938,0.0934,0.0955,0.0929,0.0967,0.1027,0.0994,0.1008
H,0.0988,0.0888,0.0972,0.1014,0.0964,0.0942,0.0975,0.098,0.0816,0.0935,0.1051,0.0981
