"position"	"plate 1"	"plate 2"	"plate 3"
"A1"	"0.0996"	"0.0995"	"0.0987"
"B1"	"0.1014"	"0.1007"	"0.1008"
"C1"	"0.0959"	"0.0963"	"0.0959"
"D1"	"0.0996"	"0.1"	"0.0984"
"E1"	"0.0845"	"0.0847"	"0.0849"
"F1"	"0.0963"	"0.096"	"0.0953"
"G1"	"0.0948"	"0.0954"	"0.0945"
"H1"	"0.0992"	"0.0985"	"0.0988"
"A2"	"0.1045"	"0.1021"	"0.1025"
"B2"	"0.0962"	"0.0956"	"0.0941"
"C2"	"0.0991"	"0.0975"	"0.0973"
"D2"	"0.0982"	"0.0974"	"0.097"
"E2"	"0.104"	"0.1146"	"0.1031"
"F2"	"0.0952"	"0.0956"	"0.0938"
"G2"	"0.098"	"0.0968"	"0.0965"
"H2"	"0.0892"	"0.0898"	"0.0888"
"A3"	"0.1033"	"0.1045"	"0.1003"
"B3"	"0.0964"	"0.0963"	"0.097"
"C3"	"0.0984"	"0.0996"	"0.0981"
"D3"	"0.1005"	"0.1005"	"0.1"
"E3"	"0.101"	"0.1044"	"0.1012"
"F3"	"0.1126"	"0.1131"	"0.1114"
"G3"	"0.0987"	"0.0994"	"0.0982"
"H3"	"0.0986"	"0.0981"	"0.0972"
"A4"	"0.1033"	"0.1064"	"0.101"
"B4"	"0.0976"	"0.0976"	"0.0985"
"C4"	"0.0985"	"0.0995"	"0.0979"
"D4"	"0.0953"	"0.0955"	"0.0968"
"E4"	"0.0961"	"0.0949"	"0.095"
"F4"	"0.094"	"0.0941"	"0.0941"
"G4"	"0.0985"	"0.0974"	"0.0991"
"H4"	"0.1008"	"0.1016"	"0.1014"
"A5"	"0.1002"	"0.094"	"0.0931"
"B5"	"0.0942"	"0.0955"	"0.0959"
"C5"	"0.0953"	"0.0962"	"0.0959"
"D5"	"0.0982"	"0.0985"	"0.0991"
"E5"	"0.0991"	"0.0989"	"0.0999"
"F5"	"0.0964"	"0.0964"	"0.0968"
"G5"	"0.0939"	"0.0932"	"0.0938"
"H5"	"0.0961"	"0.0962"	"0.0964"
"A6"	"0.0809"	"0.0811"	"0.0808"
"B6"	"0.097"	"0.0975"	"0.0994"
"C6"	"0.093"	"0.094"	"0.0943"
"D6"	"0.0941"	"0.0949"	"0.0944"
"E6"	"0.0969"	"0.0971"	"0.098"
"F6"	"0.0956"	"0.0959"	"0.0953"
"G6"	"0.0928"	"0.0925"	"0.0934"
"H6"	"0.096"	"0.0955"	"0.0942"
"A7"	"0.0971"	"0.0993"	"0.0994"
"B7"	"0.0988"	"0.1001"	"0.1006"
"C7"	"0.1006"	"0.1013"	"0.1019"
"D7"	"0.0961"	"0.0959"	"0.0954"
"E7"	"0.0989"	"0.0997"	"0.0977"
"F7"	"0.0946"	"0.0932"	"0.0934"
"G7"	"0.0954"	"0.0947"	"0.0955"
"H7"	"0.097"	"0.0965"	"0.0975"
"A8"	"0.0993"	"0.1016"	"0.1014"
"B8"	"0.1039"	"0.1042"	"0.1036"
"C8"	"0.1012"	"0.1006"	"0.1016"
"D8"	"0.0973"	"0.0967"	"0.0971"
"E8"	"0.0997"	"0.1006"	"0.1013"
"F8"	"0.0965"	"0.0966"	"0.0962"
"G8"	"0.0931"	"0.0929"	"0.0929"
"H8"	"0.098"	"0.0984"	"0.098"
"A9"	"0.0983"	"0.0989"	"0.0992"
"B9"	"0.0982"	"0.1001"	"0.1001"
"C9"	"0.0997"	"0.0989"	"0.0991"
"D9"	"0.0984"	"0.0984"	"0.0983"
"E9"	"0.0992"	"0.1002"	"0.1005"
"F9"	"0.0974"	"0.0974"	"0.0978"
"G9"	"0.0958"	"0.096"	"0.0967"
"H9"	"0.0815"	"0.0814"	"0.0816"
"A10"	"0.0987"	"0.0988"	"0.0978"
"B10"	"0.0815"	"0.0827"	"0.0826"
"C10"	"0.098"	"0.0975"	"0.0974"
"D10"	"0.0808"	"0.0806"	"0.0808"
"E10"	"0.0999"	"0.1008"	"0.1005"
"F10"	"0.0936"	"0.0944"	"0.0941"
"G10"	"0.1018"	"0.1013"	"0.1027"
"H10"	"0.0924"	"0.0926"	"0.0935"
"A11"	"0.097"	"0.1014"	"0.1016"
"B11"	"0.0982"	"0.0984"	"0.0991"
"C11"	"0.0997"	"0.0987"	"0.0996"
"D11"	"0.096"	"0.0962"	"0.095"
"E11"	"0.103"	"0.1042"	"0.1045"
"F11"	"0.0845"	"0.0847"	"0.0847"
"G11"	"0.0991"	"0.0987"	"0.0994"
"H11"	"0.1058"	"0.1058"	"0.1051"
"A12"	"0.0795"	"0.0793"	"0.0799"
"B12"	"0.1022"	"0.1018"	"0.103"
"C12"	"0.0927"	"0.0926"	"0.0918"
"D12"	"0.0943"	"0.0944"	"0.0936"
"E12"	"0.0991"	"0.0986"	"0.0992"
"F12"	"0.0952"	"0.0944"	"0.0934"
"G12"	"0.1016"	"0.1002"	"0.1008"
"H12"	"0.0979"	"0.0981"	"0.0981"
